emp_id,emp_name,location,joining_date,score,job_domain,language_id
1,Abdullah,Model Town,2022,9.2,AI Engineer,4
2,Samran,DHA Phases,2021,7.3,web development,3
3,Rafay,Gulberg,2013,6,Sales,4
4,Abu Bakar,Bahria Town,2023,5,web development,3
5,Usman,Johar Town,2022,7,web development,4
6,Ashraf,Gulberg,2000,9,marketing,6
7,Ali,Model Town,2001,7,marketing,1
8,Ahmed,Bahria Town,2009,8.4,Sales,4
9,Bilal,DHA Phases,2001,7.4,web development,6
10,Hamza,Johar Town,2015,7.2,web development,2
11,Saad,Bahria Town,2000,9.3,marketing,3
12,Umar,Gulberg,1999,8.8,marketing,4
13,Zeeshan,Model Town,1998,8.6,web development,4
14,Tariq,Johar Town,1995,8,marketing,4
15,Imran,DHA Phases,2000,8.5,Sales,5
16,Kamran,Gulberg,1997,7.9,Sales,4
17,Fahad,DHA Phases,1946,8.6,marketing,6
18,Hassan,Bahria Town,2009,7.8,finance,4
19,Hussain,Model Town,1972,9.2,marketing,4
20,Junaid,Johar Town,2008,9,finance,4
21,Kashif,DHA Phases,1990,9,marketing,4
22,Nabeel,Johar Town,2019,8.2,Sales,5
23,Qasim,Gulberg,2019,8.5,marketing,4
24,Rizwan,Model Town,2019,8.4,web development,4
25,Salman,Bahria Town,2010,8,marketing,3
